id,title,slug,description,custom_description,custom_properties,tags,sku,sub_category_id,status,is_featured,related_products,quantity_types,meta_title,meta_description,meta_keywords,created_at,updated_at
c8ce7933-bea3-424a-acba-c83babdc2c95,Flat 100X5,flat-100x5,"",[],"[{""name"": ""Make"", ""values"": [""Any ISI""]}, {""name"": ""Length"", ""values"": [""6metre"", ""Customized""]}, {""name"": ""Grade"", ""values"": [""E250""]}]","{""MS flats"",""Flat bar""}",32581,5da2a2fe-fd0e-4666-a74c-d68abecfd6f1,published,,"{c053ac95-bf5d-4818-8a8d-7de671c20f31,84ee6274-4412-4da9-8912-5f6e8f24ead7,5b1bd581-54a2-46d5-8179-94ceae92cc16,cf6e6ddb-abb1-4843-864b-2c4659fb0b6a,bc0e1079-7e65-4a81-b087-fb12c209bfb4,efcf40de-bf8c-4f85-b903-5bbc526b0e6f}","{Kgs.,MT}","","","",2024-05-20 07:04:47.298+00,2024-05-20 07:04:47.298+00
27745e99-6fa0-430c-ac8d-2c3ab1f1890c,Flat 40X5,flat-40x5,"",[],"[{""name"": ""Make"", ""values"": [""Any ISI""]}, {""name"": ""Length"", ""values"": [""6metre"", ""Customized""]}, {""name"": ""Grade"", ""values"": [""E250""]}]","{""MS flats"",""Flat bar""}",32581,5da2a2fe-fd0e-4666-a74c-d68abecfd6f1,published,,{13a96510-e525-4378-bc0b-389a4011e2a6},"{Kgs.,MT}","","","",2024-05-20 06:32:41.959+00,2024-05-20 06:32:41.959+00
30cdf53a-6c82-4aca-a9e5-5a976d321402,Flat 40X6,flat-40x6,"",[],"[{""name"": ""Make"", ""values"": [""Any ISI""]}, {""name"": ""Length"", ""values"": [""6metre"", ""Customized""]}, {""name"": ""Grade"", ""values"": [""E250""]}]","{""MS flats"",""Flat bar""}",32581,5da2a2fe-fd0e-4666-a74c-d68abecfd6f1,published,,"{13a96510-e525-4378-bc0b-389a4011e2a6,27745e99-6fa0-430c-ac8d-2c3ab1f1890c}","{Kgs.,MT}","","","",2024-05-20 06:34:45.99+00,2024-05-20 06:34:45.99+00
e5100205-b7f5-4b39-a1a4-090b423baea5,Flat 50X3,flat-50x3,"",[],"[{""name"": ""Make"", ""values"": [""Any ISI""]}, {""name"": ""Length"", ""values"": [""6metre"", ""Customized""]}, {""name"": ""Grade"", ""values"": [""E250""]}]","{""MS flats"",""Flat bar""}",32581,5da2a2fe-fd0e-4666-a74c-d68abecfd6f1,published,,"{27745e99-6fa0-430c-ac8d-2c3ab1f1890c,13a96510-e525-4378-bc0b-389a4011e2a6}","{Kgs.,MT}","","","",2024-05-20 06:36:44.172+00,2024-05-20 06:36:44.172+00
efcf40de-bf8c-4f85-b903-5bbc526b0e6f,Flat 50X4,flat-50x4,"",[],"[{""name"": ""Make"", ""values"": [""Any ISI""]}, {""name"": ""Length"", ""values"": [""6metre"", ""Customized""]}, {""name"": ""Grade"", ""values"": [""E250""]}]","{""MS flats"",""Flat bar""}",32581,5da2a2fe-fd0e-4666-a74c-d68abecfd6f1,published,,"{27745e99-6fa0-430c-ac8d-2c3ab1f1890c,13a96510-e525-4378-bc0b-389a4011e2a6}","{Kgs.,MT}","","","",2024-05-20 06:37:52.745+00,2024-05-20 06:37:52.745+00
eba7fe8a-683f-4c42-9466-948c34ee67bc,Flat 50X5,flat-50x5,"",[],"[{""name"": ""Make"", ""values"": [""Any ISI""]}, {""name"": ""Length"", ""values"": [""6metre"", ""Customized""]}, {""name"": ""Grade"", ""values"": [""E250""]}]","{""MS flats"",""Flat bar""}",32581,5da2a2fe-fd0e-4666-a74c-d68abecfd6f1,published,,"{27745e99-6fa0-430c-ac8d-2c3ab1f1890c,13a96510-e525-4378-bc0b-389a4011e2a6}","{Kgs.,MT}","","","",2024-05-20 06:42:59.899+00,2024-05-20 06:42:59.899+00
bc0e1079-7e65-4a81-b087-fb12c209bfb4,Flat 50X6,flat-50x6,"",[],"[{""name"": ""Make"", ""values"": [""Any ISI""]}, {""name"": ""Length"", ""values"": [""6metre"", ""Customized""]}, {""name"": ""Grade"", ""values"": [""E250""]}]","{""MS flats"",""Flat bar""}",32581,5da2a2fe-fd0e-4666-a74c-d68abecfd6f1,published,,"{27745e99-6fa0-430c-ac8d-2c3ab1f1890c,efcf40de-bf8c-4f85-b903-5bbc526b0e6f,30cdf53a-6c82-4aca-a9e5-5a976d321402}","{Kgs.,MT}","","","",2024-05-20 06:47:51.978+00,2024-05-20 06:47:51.978+00
cf6e6ddb-abb1-4843-864b-2c4659fb0b6a,Flat 50X8,flat-50x8,"",[],"[{""name"": ""Make"", ""values"": [""Any ISI""]}, {""name"": ""Length"", ""values"": [""6metre"", ""Customized""]}, {""name"": ""Grade"", ""values"": [""E250""]}]","{""MS flats"",""Flat bar""}",32581,5da2a2fe-fd0e-4666-a74c-d68abecfd6f1,published,,"{efcf40de-bf8c-4f85-b903-5bbc526b0e6f,30cdf53a-6c82-4aca-a9e5-5a976d321402,27745e99-6fa0-430c-ac8d-2c3ab1f1890c,bc0e1079-7e65-4a81-b087-fb12c209bfb4}","{Kgs.,MT}","","","",2024-05-20 06:48:16.343+00,2024-05-20 06:48:16.343+00
e716b451-c07e-47f1-b425-15aaf70f4c25,Flat 50X10,flat-50x10,"",[],"[{""name"": ""Make"", ""values"": [""Any ISI""]}, {""name"": ""Length"", ""values"": [""6metre"", ""Customized""]}, {""name"": ""Grade"", ""values"": [""E250""]}]","{""MS flats"",""Flat bar""}",32581,5da2a2fe-fd0e-4666-a74c-d68abecfd6f1,published,,"{bc0e1079-7e65-4a81-b087-fb12c209bfb4,efcf40de-bf8c-4f85-b903-5bbc526b0e6f,30cdf53a-6c82-4aca-a9e5-5a976d321402,27745e99-6fa0-430c-ac8d-2c3ab1f1890c,cf6e6ddb-abb1-4843-864b-2c4659fb0b6a}","{Kgs.,MT}","","","",2024-05-20 06:48:38.859+00,2024-05-20 06:48:38.859+00
cae66288-cf41-4e31-a98e-a71539ec8618,Flat 65X3,flat-65x3,"",[],"[{""name"": ""Make"", ""values"": [""Any ISI""]}, {""name"": ""Length"", ""values"": [""6metre"", ""Customized""]}, {""name"": ""Grade"", ""values"": [""E250""]}]","{""MS flats"",""Flat bar""}",32581,5da2a2fe-fd0e-4666-a74c-d68abecfd6f1,published,,"{cf6e6ddb-abb1-4843-864b-2c4659fb0b6a,bc0e1079-7e65-4a81-b087-fb12c209bfb4,efcf40de-bf8c-4f85-b903-5bbc526b0e6f,30cdf53a-6c82-4aca-a9e5-5a976d321402,27745e99-6fa0-430c-ac8d-2c3ab1f1890c}","{Kgs.,MT}","","","",2024-05-20 06:56:55.09+00,2024-05-20 06:56:55.09+00
